module,area,source_path,decision
secondbrain.native.workspace_center_gui,native,SecondBrain-Agent/secondbrain/native/workspace_center_gui.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.operations.backup_restore,operations,SecondBrain-Agent/secondbrain/operations/backup_restore.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.operations.update_manager,operations,SecondBrain-Agent/secondbrain/operations/update_manager.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.privacy.gdpr_manager,privacy,SecondBrain-Agent/secondbrain/privacy/gdpr_manager.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.rag.async_batch_embedding_pipeline,rag,SecondBrain-Agent/secondbrain/rag/async_batch_embedding_pipeline.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.rag.benchmark_suite,rag,SecondBrain-Agent/secondbrain/rag/benchmark_suite.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.rag.fusion_scoring,rag,SecondBrain-Agent/secondbrain/rag/fusion_scoring.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.rag.load_test,rag,SecondBrain-Agent/secondbrain/rag/load_test.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.rag.memory_summarizer,rag,SecondBrain-Agent/secondbrain/rag/memory_summarizer.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.rag.postgres_kpi_store,rag,SecondBrain-Agent/secondbrain/rag/postgres_kpi_store.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.rag.reindex_scheduler,rag,SecondBrain-Agent/secondbrain/rag/reindex_scheduler.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.rag.retention_policy,rag,SecondBrain-Agent/secondbrain/rag/retention_policy.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.rag.retrieval_metrics,rag,SecondBrain-Agent/secondbrain/rag/retrieval_metrics.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.rag.similarity_queries,rag,SecondBrain-Agent/secondbrain/rag/similarity_queries.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.rag.vector_store_pgvector,rag,SecondBrain-Agent/secondbrain/rag/vector_store_pgvector.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.security.benchmark_suite,security,SecondBrain-Agent/secondbrain/security/benchmark_suite.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.storage.healthcheck,storage,SecondBrain-Agent/secondbrain/storage/healthcheck.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.storage.repositories.chunk_repository,storage,SecondBrain-Agent/secondbrain/storage/repositories/chunk_repository.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.storage.repositories.connector_repository,storage,SecondBrain-Agent/secondbrain/storage/repositories/connector_repository.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.storage.repositories.memory_repository,storage,SecondBrain-Agent/secondbrain/storage/repositories/memory_repository.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.storage.repositories.workflow_repository,storage,SecondBrain-Agent/secondbrain/storage/repositories/workflow_repository.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.storage.transaction_manager,storage,SecondBrain-Agent/secondbrain/storage/transaction_manager.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.storage.vector_index_manager,storage,SecondBrain-Agent/secondbrain/storage/vector_index_manager.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.voice.benchmark_suite,voice,SecondBrain-Agent/secondbrain/voice/benchmark_suite.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.voice.speaker_identification,voice,SecondBrain-Agent/secondbrain/voice/speaker_identification.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.voice.streaming_pipeline,voice,SecondBrain-Agent/secondbrain/voice/streaming_pipeline.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.agent.context_builder,-,SecondBrain-Agent/secondbrain/agent/context_builder.py,KEEP (registry/init/dynamic)
secondbrain.agent.graph.extract,-,SecondBrain-Agent/secondbrain/agent/graph/extract.py,KEEP (registry/init/dynamic)
secondbrain.agent.session_manager,-,SecondBrain-Agent/secondbrain/agent/session_manager.py,KEEP (import:secondbrain/desktop_os/desktop_kernel.py)
secondbrain.audit,-,SecondBrain-Agent/secondbrain/audit.py,KEEP (registry/init/dynamic)
secondbrain.chat.context.builder,-,SecondBrain-Agent/secondbrain/chat/context/builder.py,KEEP (registry/init/dynamic)
secondbrain.connectors.metrics,-,SecondBrain-Agent/secondbrain/connectors/metrics.py,KEEP (registry/init/dynamic)
secondbrain.connectors.retry_backoff,-,SecondBrain-Agent/secondbrain/connectors/retry_backoff.py,KEEP (import:tests/test_v213_p2_completion.py)
secondbrain.connectors.scheduler,-,SecondBrain-Agent/secondbrain/connectors/scheduler.py,KEEP (registry/init/dynamic)
secondbrain.desktop_app.app,-,SecondBrain-Agent/secondbrain/desktop_app/app.py,KEEP (registry/init/dynamic)
secondbrain.ga.observability,-,SecondBrain-Agent/secondbrain/ga/observability.py,KEEP (import:secondbrain/production_core/runtime.py)
secondbrain.ga.provider_registry,-,SecondBrain-Agent/secondbrain/ga/provider_registry.py,KEEP (registry/init/dynamic)
secondbrain.ga.release_gate,-,SecondBrain-Agent/secondbrain/ga/release_gate.py,KEEP (registry/init/dynamic)
secondbrain.gui.memory_explorer,-,SecondBrain-Agent/secondbrain/gui/memory_explorer.py,KEEP (import:secondbrain/agent/planner.py)
secondbrain.memory.context_assembly_pipeline,-,SecondBrain-Agent/secondbrain/memory/context_assembly_pipeline.py,KEEP (registry/init/dynamic)
secondbrain.memory.context_builder,-,SecondBrain-Agent/secondbrain/memory/context_builder.py,KEEP (registry/init/dynamic)
secondbrain.mobile.dashboard,-,SecondBrain-Agent/secondbrain/mobile/dashboard.py,KEEP (registry/init/dynamic)
secondbrain.mobile.metrics,-,SecondBrain-Agent/secondbrain/mobile/metrics.py,KEEP (registry/init/dynamic)
secondbrain.native.app,-,SecondBrain-Agent/secondbrain/native/app.py,KEEP (registry/init/dynamic)
secondbrain.rag.hybrid_retrieval,-,SecondBrain-Agent/secondbrain/rag/hybrid_retrieval.py,KEEP (dotted:tests/test_v194_p1_hybrid_gate.py)
secondbrain.rag.pgvector_repository,-,SecondBrain-Agent/secondbrain/rag/pgvector_repository.py,KEEP (import:tests/test_v302_pgvector_production.py)
secondbrain.secrets,-,SecondBrain-Agent/secondbrain/secrets.py,KEEP (import:secondbrain/api_bridge_v116.py)
secondbrain.storage.database,-,SecondBrain-Agent/secondbrain/storage/database.py,KEEP (import:tests/test_database_runtime.py)
secondbrain.storage.metrics,-,SecondBrain-Agent/secondbrain/storage/metrics.py,KEEP (registry/init/dynamic)
secondbrain.storage.repositories.document_repository,-,SecondBrain-Agent/secondbrain/storage/repositories/document_repository.py,KEEP (registry/init/dynamic)
secondbrain.voice.metrics,-,SecondBrain-Agent/secondbrain/voice/metrics.py,KEEP (registry/init/dynamic)
